#  n_B[fm^{-3}] 	 P[dyn/cm^2] 	 rho[g/cm^3] 
  1.318E-13 	   7.743E+16 	   2.189E+02
  1.342E-13 	   7.883E+16 	   2.227E+02
  1.366E-13 	   8.025E+16 	   2.267E+02
  1.390E-13 	   8.170E+16 	   2.307E+02
  1.414E-13 	   8.318E+16 	   2.348E+02
  1.439E-13 	   8.468E+16 	   2.389E+02
  1.465E-13 	   8.621E+16 	   2.432E+02
  1.491E-13 	   8.778E+16 	   2.475E+02
  1.517E-13 	   8.937E+16 	   2.519E+02
  1.544E-13 	   9.099E+16 	   2.563E+02
  1.571E-13 	   9.264E+16 	   2.608E+02
  1.599E-13 	   9.432E+16 	   2.655E+02
  1.628E-13 	   9.603E+16 	   2.702E+02
  1.656E-13 	   9.778E+16 	   2.750E+02
  1.686E-13 	   9.955E+16 	   2.798E+02
  1.716E-13 	   1.014E+17 	   2.848E+02
  1.746E-13 	   1.032E+17 	   2.898E+02
  1.777E-13 	   1.051E+17 	   2.949E+02
  1.808E-13 	   1.070E+17 	   3.002E+02
  1.840E-13 	   1.090E+17 	   3.055E+02
  1.873E-13 	   1.110E+17 	   3.109E+02
  1.906E-13 	   1.130E+17 	   3.164E+02
  1.940E-13 	   1.150E+17 	   3.220E+02
  1.974E-13 	   1.172E+17 	   3.277E+02
  2.009E-13 	   1.193E+17 	   3.335E+02
  2.045E-13 	   1.215E+17 	   3.394E+02
  2.081E-13 	   1.237E+17 	   3.454E+02
  2.118E-13 	   1.260E+17 	   3.515E+02
  2.155E-13 	   1.283E+17 	   3.578E+02
  2.193E-13 	   1.307E+17 	   3.641E+02
  2.232E-13 	   1.331E+17 	   3.705E+02
  2.272E-13 	   1.355E+17 	   3.771E+02
  2.312E-13 	   1.380E+17 	   3.838E+02
  2.353E-13 	   1.406E+17 	   3.906E+02
  2.395E-13 	   1.432E+17 	   3.975E+02
  2.437E-13 	   1.459E+17 	   4.045E+02
  2.480E-13 	   1.486E+17 	   4.117E+02
  2.524E-13 	   1.513E+17 	   4.190E+02
  2.569E-13 	   1.541E+17 	   4.264E+02
  2.614E-13 	   1.570E+17 	   4.340E+02
  2.660E-13 	   1.599E+17 	   4.416E+02
  2.708E-13 	   1.629E+17 	   4.495E+02
  2.756E-13 	   1.659E+17 	   4.574E+02
  2.804E-13 	   1.691E+17 	   4.655E+02
  2.854E-13 	   1.722E+17 	   4.738E+02
  2.905E-13 	   1.754E+17 	   4.822E+02
  2.956E-13 	   1.787E+17 	   4.907E+02
  3.008E-13 	   1.821E+17 	   4.994E+02
  3.062E-13 	   1.855E+17 	   5.082E+02
  3.116E-13 	   1.890E+17 	   5.172E+02
  3.171E-13 	   1.926E+17 	   5.264E+02
  3.227E-13 	   1.962E+17 	   5.357E+02
  3.284E-13 	   2.000E+17 	   5.452E+02
  3.342E-13 	   2.037E+17 	   5.548E+02
  3.402E-13 	   2.076E+17 	   5.647E+02
  3.462E-13 	   2.116E+17 	   5.747E+02
  3.523E-13 	   2.156E+17 	   5.848E+02
  3.585E-13 	   2.197E+17 	   5.952E+02
  3.649E-13 	   2.239E+17 	   6.057E+02
  3.714E-13 	   2.282E+17 	   6.165E+02
  3.779E-13 	   2.326E+17 	   6.274E+02
  3.846E-13 	   2.370E+17 	   6.385E+02
  3.914E-13 	   2.416E+17 	   6.498E+02
  3.984E-13 	   2.463E+17 	   6.613E+02
  4.054E-13 	   2.510E+17 	   6.730E+02
  4.126E-13 	   2.559E+17 	   6.849E+02
  4.199E-13 	   2.608E+17 	   6.970E+02
  4.273E-13 	   2.659E+17 	   7.094E+02
  4.349E-13 	   2.711E+17 	   7.219E+02
  4.426E-13 	   2.764E+17 	   7.347E+02
  4.504E-13 	   2.818E+17 	   7.477E+02
  4.584E-13 	   2.873E+17 	   7.610E+02
  4.665E-13 	   2.929E+17 	   7.745E+02
  4.748E-13 	   2.987E+17 	   7.882E+02
  4.832E-13 	   3.046E+17 	   8.021E+02
  4.918E-13 	   3.106E+17 	   8.163E+02
  5.005E-13 	   3.167E+17 	   8.308E+02
  5.093E-13 	   3.230E+17 	   8.455E+02
  5.183E-13 	   3.294E+17 	   8.605E+02
  5.275E-13 	   3.360E+17 	   8.757E+02
  5.369E-13 	   3.427E+17 	   8.912E+02
  5.464E-13 	   3.495E+17 	   9.070E+02
  5.560E-13 	   3.566E+17 	   9.230E+02
  5.659E-13 	   3.637E+17 	   9.394E+02
  5.759E-13 	   3.710E+17 	   9.560E+02
  5.861E-13 	   3.785E+17 	   9.729E+02
  5.965E-13 	   3.862E+17 	   9.902E+02
  6.071E-13 	   3.940E+17 	   1.008E+03
  6.178E-13 	   4.021E+17 	   1.026E+03
  6.287E-13 	   4.103E+17 	   1.044E+03
  6.399E-13 	   4.187E+17 	   1.062E+03
  6.512E-13 	   4.272E+17 	   1.081E+03
  6.627E-13 	   4.360E+17 	   1.100E+03
  6.745E-13 	   4.450E+17 	   1.120E+03
  6.864E-13 	   4.542E+17 	   1.139E+03
  6.986E-13 	   4.636E+17 	   1.160E+03
  7.109E-13 	   4.733E+17 	   1.180E+03
  7.235E-13 	   4.831E+17 	   1.201E+03
  7.363E-13 	   4.932E+17 	   1.222E+03
  7.494E-13 	   5.036E+17 	   1.244E+03
  7.626E-13 	   5.141E+17 	   1.266E+03
  7.761E-13 	   5.250E+17 	   1.288E+03
  7.899E-13 	   5.361E+17 	   1.311E+03
  8.039E-13 	   5.474E+17 	   1.334E+03
  8.181E-13 	   5.591E+17 	   1.358E+03
  8.326E-13 	   5.710E+17 	   1.382E+03
  8.473E-13 	   5.832E+17 	   1.407E+03
  8.623E-13 	   5.957E+17 	   1.431E+03
  8.776E-13 	   6.085E+17 	   1.457E+03
  8.932E-13 	   6.217E+17 	   1.483E+03
  9.090E-13 	   6.351E+17 	   1.509E+03
  9.251E-13 	   6.489E+17 	   1.536E+03
  9.414E-13 	   6.631E+17 	   1.563E+03
  9.581E-13 	   6.775E+17 	   1.590E+03
  9.751E-13 	   6.924E+17 	   1.619E+03
  9.923E-13 	   7.076E+17 	   1.647E+03
  1.010E-12 	   7.232E+17 	   1.676E+03
  1.028E-12 	   7.392E+17 	   1.706E+03
  1.046E-12 	   7.556E+17 	   1.736E+03
  1.065E-12 	   7.725E+17 	   1.767E+03
  1.083E-12 	   7.897E+17 	   1.798E+03
  1.103E-12 	   8.074E+17 	   1.830E+03
  1.122E-12 	   8.256E+17 	   1.863E+03
  1.142E-12 	   8.442E+17 	   1.896E+03
  1.162E-12 	   8.633E+17 	   1.929E+03
  1.183E-12 	   8.829E+17 	   1.963E+03
  1.204E-12 	   9.031E+17 	   1.998E+03
  1.225E-12 	   9.237E+17 	   2.033E+03
  1.247E-12 	   9.449E+17 	   2.069E+03
  1.269E-12 	   9.666E+17 	   2.106E+03
  1.291E-12 	   9.890E+17 	   2.143E+03
  1.314E-12 	   1.012E+18 	   2.181E+03
  1.337E-12 	   1.035E+18 	   2.220E+03
  1.361E-12 	   1.060E+18 	   2.259E+03
  1.385E-12 	   1.084E+18 	   2.299E+03
  1.410E-12 	   1.110E+18 	   2.340E+03
  1.435E-12 	   1.136E+18 	   2.381E+03
  1.460E-12 	   1.163E+18 	   2.424E+03
  1.486E-12 	   1.190E+18 	   2.467E+03
  1.512E-12 	   1.219E+18 	   2.510E+03
  1.539E-12 	   1.248E+18 	   2.555E+03
  1.566E-12 	   1.278E+18 	   2.600E+03
  1.594E-12 	   1.309E+18 	   2.646E+03
  1.622E-12 	   1.340E+18 	   2.693E+03
  1.651E-12 	   1.373E+18 	   2.740E+03
  1.680E-12 	   1.406E+18 	   2.789E+03
  1.710E-12 	   1.440E+18 	   2.838E+03
  1.740E-12 	   1.475E+18 	   2.889E+03
  1.771E-12 	   1.512E+18 	   2.940E+03
  1.802E-12 	   1.549E+18 	   2.992E+03
  1.834E-12 	   1.587E+18 	   3.045E+03
  1.867E-12 	   1.626E+18 	   3.099E+03
  1.900E-12 	   1.667E+18 	   3.154E+03
  1.933E-12 	   1.708E+18 	   3.209E+03
  1.968E-12 	   1.751E+18 	   3.266E+03
  2.002E-12 	   1.795E+18 	   3.324E+03
  2.038E-12 	   1.840E+18 	   3.383E+03
  2.074E-12 	   1.887E+18 	   3.443E+03
  2.111E-12 	   1.935E+18 	   3.504E+03
  2.148E-12 	   1.984E+18 	   3.566E+03
  2.186E-12 	   2.035E+18 	   3.629E+03
  2.225E-12 	   2.087E+18 	   3.693E+03
  2.264E-12 	   2.140E+18 	   3.759E+03
  2.304E-12 	   2.196E+18 	   3.825E+03
  2.345E-12 	   2.252E+18 	   3.893E+03
  2.387E-12 	   2.311E+18 	   3.962E+03
  2.429E-12 	   2.371E+18 	   4.032E+03
  2.472E-12 	   2.433E+18 	   4.103E+03
  2.516E-12 	   2.497E+18 	   4.176E+03
  2.560E-12 	   2.562E+18 	   4.250E+03
  2.606E-12 	   2.630E+18 	   4.325E+03
